ImageID,label
0,141
1,53
2,45
3,48
4,14
5,360
6,302
7,82
8,80
9,53
10,177
11,236
12,194
13,322
14,296
15,339
16,41
17,195
18,187
19,344
20,332
21,274
22,195
23,353
24,29
25,162
26,291
27,336
28,330
29,127
30,300
31,186
32,261
33,57
34,349
35,196
36,129
37,6
38,275
39,175
40,233
41,135
42,260
43,153
44,102
45,277
46,1
47,58
48,158
49,291
50,249
51,273
52,244
53,271
54,109
55,354
56,344
57,265
58,33
59,118
60,324
61,17
62,122
63,277
64,293
65,243
66,50
67,211
68,345
69,32
70,56
71,230
72,237
73,227
74,51
75,8
76,122
77,110
78,85
79,136
80,147
81,285
82,98
83,297
84,161
85,258
86,30
87,96
88,121
89,292
90,318
91,290
92,105
93,136
94,154
95,38
96,289
97,110
98,179
99,190
100,279
101,335
102,284
103,69
104,284
105,108
106,325
107,129
108,48
109,23
110,327
111,227
112,5
113,354
114,190
115,66
116,21
117,128
118,287
119,318
120,122
121,91
122,171
123,343
124,137
125,196
126,114
127,180
128,117
129,205
130,143
131,348
132,15
133,92
134,20
135,161
136,60
137,131
138,267
139,344
140,341
141,340
142,154
143,168
144,66
145,195
146,316
147,1
148,297
149,227
150,243
151,87
152,340
153,121
154,102
155,244
156,234
157,100
158,205
159,3
160,55
161,357
162,128
163,69
164,287
165,227
166,259
167,229
168,244
169,327
170,249
171,40
172,172
173,71
174,79
175,209
176,32
177,300
178,295
179,181
180,215
181,309
182,140
183,173
184,85
185,319
186,304
187,330
188,94
189,109
190,195
191,216
192,10
193,180
194,334
195,127
196,79
197,59
198,359
199,311
200,59
201,160
202,160
203,193
204,39
205,125
206,351
207,290
208,220
209,332
210,251
211,326
212,79
213,334
214,276
215,304
216,45
217,238
218,173
219,94
220,133
221,360
222,265
223,209
224,354
225,230
226,114
227,340
228,272
229,282
230,139
231,99
232,354
233,248
234,269
235,100
236,155
237,141
238,150
239,252
240,146
241,95
242,245
243,252
244,28
245,156
246,286
247,317
248,231
249,302
250,318
251,51
252,109
253,123
254,2
255,241
256,145
257,352
258,321
259,102
260,332
261,73
262,158
263,148
264,156
265,257
266,307
267,166
268,118
269,295
270,345
271,90
272,143
273,326
274,241
275,344
276,211
277,206
278,233
279,60
280,264
281,278
282,266
283,321
284,137
285,225
286,15
287,123
288,8
289,59
290,79
291,261
292,248
293,283
294,307
295,36
296,213
297,137
298,153
299,338
300,276
301,279
302,97
303,197
304,23
305,196
306,334
